시가,고가,저가,종가,거래량,금액(백만)
47100.0,47200.0,46550.0,47000.0,9231792.0,433164.0
46450.0,47000.0,46300.0,46900.0,9434157.0,441487.0
46500.0,46500.0,45850.0,46300.0,9896562.0,457524.0
44800.0,46100.0,44450.0,45700.0,18297430.0,832665.0
43250.0,44100.0,43150.0,44100.0,12441837.0,541987.0
43550.0,43650.0,43100.0,43250.0,9774941.0,423350.0
44850.0,44850.0,43650.0,43800.0,7185537.0,315991.0
43750.0,44300.0,43750.0,44000.0,9899073.0,436337.0
44200.0,44200.0,43050.0,43400.0,10768862.0,470572.0
44100.0,44400.0,43750.0,44150.0,5758333.0,254052.0
43650.0,44200.0,43600.0,44050.0,16883932.0,742426.0
43050.0,43800.0,42950.0,43600.0,7954949.0,344832.0
43800.0,44200.0,43650.0,43950.0,5017381.0,220739.0
44500.0,44700.0,43850.0,44050.0,8061177.0,355619.0
44350.0,44800.0,44150.0,44500.0,6571717.0,292349.0
43950.0,44600.0,43550.0,44450.0,8434205.0,372092.0
44350.0,44350.0,43500.0,43600.0,6014218.0,263401.0
43800.0,43900.0,43300.0,43900.0,9528115.0,416192.0
43900.0,44250.0,43500.0,43700.0,8750135.0,383427.0
43500.0,43500.0,42950.0,43000.0,7276979.0,314191.0
44000.0,44000.0,43550.0,43700.0,8466169.0,370531.0
43250.0,43350.0,43050.0,43150.0,9685147.0,418719.0
43250.0,43500.0,42650.0,42650.0,16926881.0,728074.0
43600.0,43900.0,43100.0,43200.0,10002533.0,434500.0
42500.0,43800.0,42500.0,43500.0,15083824.0,654805.0
44350.0,44600.0,43600.0,43950.0,14214086.0,625946.0
44550.0,45500.0,44300.0,44950.0,12151374.0,544793.0
44900.0,45500.0,44850.0,45200.0,7811181.0,352894.0
46200.0,46600.0,45000.0,45350.0,12872916.0,587387.0
46300.0,46850.0,46300.0,46550.0,5551014.0,258641.0
46800.0,47050.0,46000.0,46100.0,6856846.0,317737.0
46650.0,47150.0,46550.0,47150.0,7873886.0,369298.0
47150.0,47200.0,46600.0,47200.0,8408838.0,395533.0
47100.0,47150.0,46250.0,46400.0,8756522.0,409321.0
47350.0,47550.0,47050.0,47300.0,9061381.0,429349.0
46800.0,47300.0,46600.0,47200.0,9009109.0,424205.0
46650.0,46950.0,46600.0,46800.0,8819393.0,412853.0
46450.0,46450.0,45650.0,46100.0,5143554.0,236878.0
46150.0,46350.0,45950.0,46050.0,5216602.0,240498.0
46450.0,46850.0,46300.0,46850.0,7407824.0,345958.0
45950.0,46650.0,45750.0,46450.0,4717226.0,218263.0
46350.0,46400.0,45800.0,46300.0,5245804.0,242359.0
46350.0,46550.0,46150.0,46200.0,10989751.0,509185.0
45550.0,46150.0,45500.0,45550.0,9253930.0,424302.0
44850.0,45450.0,44700.0,45100.0,7646421.0,344766.0
44750.0,44800.0,44350.0,44400.0,7823843.0,348373.0
45950.0,45950.0,45250.0,45650.0,7235395.0,329447.0
45250.0,46200.0,45250.0,46000.0,6365573.0,291454.0
45750.0,46350.0,45200.0,45400.0,9669368.0,441065.0
46200.0,46900.0,45850.0,46250.0,8463073.0,393048.0
47350.0,47400.0,46250.0,46600.0,11383522.0,531569.0
47000.0,47000.0,46700.0,47000.0,12949231.0,607215.0
46000.0,46600.0,45750.0,46500.0,12603534.0,583889.0
45800.0,46000.0,45600.0,45700.0,9226097.0,422132.0
45200.0,45800.0,45200.0,45600.0,7076774.0,322055.0
45200.0,45800.0,45200.0,45500.0,6085066.0,276882.0
45750.0,45800.0,45200.0,45700.0,9454913.0,430711.0
